SNo,President,Date of birth,Date of,Age at,End of term,Length of,Date of death,Lifespan
,,,inauguration,inauguration,,retirement,,
1,Louis-Napoléon Bonaparte,20 April 1808,20 December 1848,"40 years, 244 days",2 December 1852,"7,343 days",9 January 1873,"23,640 days (64 years, 264 days)"
2,Adolphe Thiers,18 April 1797,31 August 1871,"74 years, 135 days",24 May 1873,"1,563 days",3 September 1877,"29,357 days (80 years, 138 days)"
3,Patrice de Mac-Mahon,13 July 1808,24 May 1873,"64 years, 315 days",30 January 1879,"5,373 days",16 October 1893,"31,141 days (85 years, 95 days)"
4,Jules Grévy,15 August 1807,30 January 1879,"71 years, 168 days",2 December 1887,"1,377 days",9 September 1891,"30,706 days (84 years, 25 days)"
5,Sadi Carnot,11 August 1837,3 December 1887,"50 years, 114 days",25 June 1894,N/A,25 June 1894,"20,772 days (56 years, 318 days)"
6,Jean Casimir-Perier,8 November 1847,27 June 1894,"46 years, 231 days",16 January 1895,"4,436 days",11-Mar-07,"21,672 days (59 years, 123 days)"
7,Félix Faure,30 January 1841,17 January 1895,"53 years, 352 days",16 February 1899,N/A,16 February 1899,"21,201 days (58 years, 17 days)"
8,Émile Loubet,31 December 1838,18 February 1899,"60 years, 49 days",18 February 1906,"8,706 days",20-Dec-29,"33,226 days (90 years, 354 days)"
9,Armand Fallières,6 November 1841,18 February 1906,"64 years, 104 days",18 February 1913,"6,698 days",22-Jun-31,"32,734 days (89 years, 228 days)"
10,Raymond Poincaré,20 August 1860,18 February 1913,"52 years, 182 days",18 February 1920,"5,353 days",15-Oct-34,"27,083 days (74 years, 56 days)"
11,Paul Deschanel,13 February 1855,18 February 1920,"65 years, 5 days",21 September 1920,584 days,28-Apr-22,"24,545 days (67 years, 74 days)"
12,Alexandre Millerand,10 February 1859,23 September 1920,"61 years, 226 days",11 June 1924,"6,874 days",07-Apr-43,"30,736 days (84 years, 56 days)"
13,Gaston Doumergue,1 August 1863,13 June 1924,"60 years, 317 days",13 June 1931,"2,197 days",18-Jun-37,"26,984 days (73 years, 321 days)"
14,Paul Doumer,22 March 1857,13 June 1931,"74 years, 83 days",7 May 1932,N/A,07-May-32,"27,439 days (75 years, 46 days)"
15,Albert Lebrun,29 August 1871,10 May 1932,"60 years, 255 days",10 July 1940,"3,526 days",06-Mar-50,"28,678 days (78 years, 189 days)"
16,Vincent Auriol,27 August 1884,16 January 1947,"62 years, 142 days",16 January 1954,"4,368 days",01-Jan-66,"29,711 days (81 years, 127 days)"
17,René Coty,20 March 1882,16 January 1954,"71 years, 302 days",8 January 1959,"1,414 days",22-Nov-62,"29,466 days (80 years, 247 days)"
18,Charles de Gaulle,22 November 1890,8 January 1959,"68 years, 47 days",28 April 1969,560 days,09-Nov-70,"29,206 days (79 years, 352 days)"
19,Georges Pompidou,05-Jul-11,20 June 1969,"57 years, 349 days",2 April 1974,N/A,02-Apr-74,"22,917 days (62 years, 271 days)"
20,Valéry d'Estaing,02-Feb-26,27 May 1974,"48 years, 114 days",21 May 1981,"11,955 days",,"32,152 days (88 years, 10 days)"
21,François Mitterrand,26-Oct-16,21 May 1981,"64 years, 207 days",17 May 1995,236 days,08-Jan-96,"28,928 days (79 years, 74 days)"
22,Jacques Chirac,29-Nov-32,17 May 1995,"62 years, 169 days",16 May 2007,"2,464 days",,"29,660 days (81 years, 75 days)"
23,Nicolas Sarkozy,28-Jan-55,16 May 2007,"52 years, 108 days",15 May 2012,638 days,,"21,565 days (59 years, 15 days)"
24,François Hollande,12-Aug-54,15 May 2012,"57 years, 277 days",Incumbent,,,"21,734 days (59 years, 184 days)"
,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,
,,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_French_Presidents_by_longevity,,,,,,,,
