SNo,Prime Minister,Date of birth,Start date,Age at beginning,End date,Total time,Date of death,Lifespan
,,,of (first) term,of (first) term,of (final) term,in office,,
1,Robert Walpole,26 August 1676,4 April 1721,"44 years, 221 days",11 February 1742,"7,618 days",18 March 1745,"25,040 days (68 years, 204 days)"
2,Spencer Compton,18 March 1673,16 February 1742,"68 years, 335 days",2 July 1743,501 days,2 July 1743,"25,672 days (70 years, 106 days)"
3,Henry Pelham,25 September 1694,27 August 1743,"48 years, 336 days",6 March 1754,"3,844 days",6 March 1754,"21,711 days (59 years, 162 days)"
4,Thomas Pelham-Holles,21 July 1693,16 March 1754,"60 years, 238 days",26 May 1762,"2,765 days",17 November 1768,"27,512 days (75 years, 119 days)"
5,William Cavendish,8 May 1720,16 November 1756,"36 years, 192 days",25 June 1757,221 days,2 October 1764,"16,218 days (44 years, 147 days)"
6,John Stuart,25 May 1713,26 May 1762,"49 years, 1 day",8 April 1763,317 days,10 March 1792,"28,779 days (78 years, 290 days)"
7,George Grenville,14 October 1712,16 April 1763,"50 years, 184 days",13 July 1765,819 days,13 November 1770,"21,214 days (58 years, 30 days)"
8,Charles Watson-Wentworth,13 May 1730,13 July 1765,"35 years, 61 days",1 July 1782,478 days,1 July 1782,"19,042 days (52 years, 49 days)"
9,William Pitt the Elder,15 November 1708,30 July 1766,"57 years, 257 days",14 October 1768,807 days,11 May 1778,"25,379 days (69 years, 177 days)"
10,Augustus FitzRoy,28 September 1735,14 October 1768,"33 years, 16 days",28 January 1770,471 days,14 March 1811,"27,560 days (75 years, 167 days)"
11,Frederick North,13 April 1732,28 January 1770,"37 years, 290 days",22 March 1782,"4,436 days",5 August 1792,"22,029 days (60 years, 114 days)"
12,William Petty,2 May 1737,4 July 1782,"45 years, 63 days",2 April 1783,272 days,7 May 1805,"24,841 days (68 years, 5 days)"
13,William Cavendish-Bentinck,14 April 1738,2 April 1783,"44 years, 353 days",4 October 1809,"1,179 days",30 October 1809,"26,131 days (71 years, 199 days)"
14,William Pitt the Younger,28 May 1759,19 December 1783,"24 years, 205 days",23 January 1806,"6,917 days",23 January 1806,"17,041 days (46 years, 240 days)"
15,Henry Addington,30 May 1757,17 March 1801,"43 years, 291 days",10 May 1804,"1,150 days",15 February 1844,"31,671 days (86 years, 261 days)"
16,William Grenville,25 October 1759,11 February 1806,"46 years, 109 days",31 March 1807,413 days,12 January 1834,"27,107 days (74 years, 79 days)"
17,Spencer Perceval,1 November 1762,4 October 1809,"46 years, 337 days",11 May 1812,950 days,11 May 1812,"18,088 days (49 years, 192 days)"
18,Robert Jenkinson,7 June 1770,8 June 1812,"42 years, 1 day",9 April 1827,"5,418 days",4 December 1828,"21,364 days (58 years, 180 days)"
19,George Canning,11 April 1770,10 April 1827,"56 years, 364 days",8 August 1827,120 days,8 August 1827,"20,937 days (57 years, 119 days)"
20,Frederick Robinson,1 November 1782,31 August 1827,"44 years, 303 days",21 January 1828,143 days,28 January 1859,"27,846 days (76 years, 88 days)"
21,Arthur Wellesley,1 May 1769,22 January 1828,"58 years, 266 days",10 December 1834,"1,055 days",14 September 1852,"30,451 days (83 years, 136 days)"
22,Charles Grey,13 March 1764,22 November 1830,"66 years, 254 days",16 July 1834,"1,332 days",17 July 1845,"29,710 days (81 years, 126 days)"
23,William Lamb,15 March 1779,16 July 1834,"55 years, 123 days",30 August 1841,"2,447 days",24 November 1848,"25,456 days (69 years, 254 days)"
24,Robert Peel,5 February 1788,10 December 1834,"46 years, 308 days",29 June 1846,"1,883 days",2 July 1850,"22,792 days (62 years, 147 days)"
25,John Russell,18 August 1792,30 June 1846,"53 years, 316 days",28 June 1866,"2,306 days",28 May 1878,"31,328 days (85 years, 283 days)"
26,Edward Smith-Stanley,29 March 1799,23 February 1852,"52 years, 331 days",27 February 1868,"1,386 days",23 October 1869,"25,775 days (70 years, 208 days)"
27,George Hamilton-Gordon,28 January 1784,19 December 1852,"68 years, 326 days",30 January 1855,772 days,14 December 1860,"28,079 days (76 years, 321 days)"
28,Henry Temple,20 October 1784,6 February 1855,"70 years, 109 days",18 October 1865,"3,429 days",18 October 1865,"29,582 days (80 years, 363 days)"
29,Benjamin Disraeli,21 December 1804,27 February 1868,"63 years, 68 days",21 April 1880,"2,530 days",19 April 1881,"27,878 days (76 years, 119 days)"
30,William Ewart Gladstone,29 December 1809,3 December 1868,"58 years, 340 days",2 March 1894,"4,508 days",19 May 1898,"32,283 days (88 years, 141 days)"
31,Robert Cecil,3 February 1830,23 June 1885,"55 years, 140 days",11 July 1902,"5,000 days",22-Aug-03,"26,862 days (73 years, 200 days)"
32,Archibald Primrose,7 May 1847,5 March 1894,"46 years, 302 days",22 June 1895,474 days,21-May-29,"29,964 days (82 years, 14 days)"
33,Arthur Balfour,25 July 1848,11 July 1902,"53 years, 351 days",5 December 1905,"1,243 days",19-Mar-30,"29,821 days (81 years, 237 days)"
34,Henry Campbell-Bannerman,7 September 1836,5 December 1905,"69 years, 89 days",3 April 1908,850 days,22-Apr-08,"26,159 days (71 years, 228 days)"
35,Herbert Asquith,12 September 1852,5 April 1908,"55 years, 206 days",5 December 1916,"3,166 days",15-Feb-28,"27,548 days (75 years, 156 days)"
36,David Lloyd George,17 January 1863,7 December 1916,"53 years, 325 days",22 October 1922,"2,145 days",26-Mar-45,"30,018 days (82 years, 68 days)"
37,Bonar Law,16 September 1858,23 October 1922,"64 years, 37 days",22 May 1923,211 days,30-Oct-23,"23,784 days (65 years, 44 days)"
38,Stanley Baldwin,3 August 1867,23 May 1923,"55 years, 293 days",28 May 1937,"2,633 days",14-Dec-47,"29,352 days (80 years, 133 days)"
39,Ramsay MacDonald,12 October 1866,22 January 1924,"57 years, 102 days",7 June 1935,"2,480 days",09-Nov-37,"25,960 days (71 years, 28 days)"
40,Neville Chamberlain,18 March 1869,28 May 1937,"68 years, 71 days",10 May 1940,"1,078 days",09-Nov-40,"26,168 days (71 years, 236 days)"
